conceptId,fsn,domainId,active,effectiveTime,moduleId,definitionStatusId
1000001,A Priori Probability,finance,1,20240101,900000000000012004,900000000000074008
1000002,A Round Financing,finance,1,20240101,900000000000012004,900000000000074008
1000003,A+/A1 Rating,finance,1,20240101,900000000000012004,900000000000074008
1000004,A-/A3 Rating,finance,1,20240101,900000000000012004,900000000000074008
1000005,A-B Split,finance,1,20240101,900000000000012004,900000000000074008
1000006,A-B Trust,finance,1,20240101,900000000000012004,900000000000074008
1000007,A-Credit,finance,1,20240101,900000000000012004,900000000000074008
1000008,A-Note,finance,1,20240101,900000000000012004,900000000000074008
1000009,A-Share,finance,1,20240101,900000000000012004,900000000000074008
1000010,A-Shares,finance,1,20240101,900000000000012004,900000000000074008
1000011,A. Michael Spence,finance,1,20240101,900000000000012004,900000000000074008
1000012,A.M. Best,finance,1,20240101,900000000000012004,900000000000074008
1000013,AA+/Aa1 Rating,finance,1,20240101,900000000000012004,900000000000074008
1000014,Aa2 Rating,finance,1,20240101,900000000000012004,900000000000074008
1000015,AAA Rating,finance,1,20240101,900000000000012004,900000000000074008
1000016,AAAA Spot Contract,finance,1,20240101,900000000000012004,900000000000074008
1000017,Aaron's Law,finance,1,20240101,900000000000012004,900000000000074008
1000018,AARP,finance,1,20240101,900000000000012004,900000000000074008
1000019,ABA Bank Index,finance,1,20240101,900000000000012004,900000000000074008
1000020,ABA Transit Number,finance,1,20240101,900000000000012004,900000000000074008
1000021,Abacus,finance,1,20240101,900000000000012004,900000000000074008
1000022,Abandon Rate,finance,1,20240101,900000000000012004,900000000000074008
1000023,Abandoned Property,finance,1,20240101,900000000000012004,900000000000074008
1000024,Abandonment,finance,1,20240101,900000000000012004,900000000000074008
1000025,Abandonment and Salvage,finance,1,20240101,900000000000012004,900000000000074008
1000026,Abandonment Clause,finance,1,20240101,900000000000012004,900000000000074008
1000027,Abandonment Option,finance,1,20240101,900000000000012004,900000000000074008
1000028,Abandonment Value,finance,1,20240101,900000000000012004,900000000000074008
1000029,Abatement,finance,1,20240101,900000000000012004,900000000000074008
1000030,Abatement Cost,finance,1,20240101,900000000000012004,900000000000074008
1000031,Abbreviated New Drug Application (ANDA),finance,1,20240101,900000000000012004,900000000000074008
1000032,Abbreviated New Drug Submission (ANDS),finance,1,20240101,900000000000012004,900000000000074008
1000033,ABC Agreement,finance,1,20240101,900000000000012004,900000000000074008
1000034,ABCD Counties,finance,1,20240101,900000000000012004,900000000000074008
1000035,Abend,finance,1,20240101,900000000000012004,900000000000074008
1000036,Abenomics,finance,1,20240101,900000000000012004,900000000000074008
1000037,Abeyance,finance,1,20240101,900000000000012004,900000000000074008
1000038,Abeyance Order,finance,1,20240101,900000000000012004,900000000000074008
1000039,Ability To Pay,finance,1,20240101,900000000000012004,900000000000074008
1000040,Ability To Repay,finance,1,20240101,900000000000012004,900000000000074008
1000041,Ability-To-Pay Taxation,finance,1,20240101,900000000000012004,900000000000074008
1000042,ABLE Account,finance,1,20240101,900000000000012004,900000000000074008
1000043,Abnormal Earnings Valuation Model,finance,1,20240101,900000000000012004,900000000000074008
1000044,Abnormal Return,finance,1,20240101,900000000000012004,900000000000074008
1000045,Abnormal Spoilage,finance,1,20240101,900000000000012004,900000000000074008
1000046,Above Full-Employment Equilibrium,finance,1,20240101,900000000000012004,900000000000074008
1000047,Above Ground Risk,finance,1,20240101,900000000000012004,900000000000074008
1000048,Above Par,finance,1,20240101,900000000000012004,900000000000074008
1000049,Above The Line Deduction,finance,1,20240101,900000000000012004,900000000000074008
1000050,Above The Market,finance,1,20240101,900000000000012004,900000000000074008 